star_age  Teff  log_g  feh  Mag_bol  Flux_bol  Interp_rad  B  I  J  M  R  U  V
   3.451627E+04   6.613576E+03   2.366256E+00  -1.274053E+00    8.354919E+00   4.550221E-04   7.996203E-02  -2.851811E+00  -3.643456E+00  -3.895703E+00  -4.171099E+00  -3.424832E+00  -2.736409E+00  -3.155187E+00
   3.564409E+04   6.750446E+03   2.398994E+00  -1.274053E+00    8.347849E+00   4.579946E-04   7.797785E-02  -2.896133E+00  -3.623642E+00  -3.857077E+00  -4.110856E+00  -3.420065E+00  -2.762125E+00  -3.172703E+00
   3.691740E+04   6.904460E+03   2.434639E+00  -1.274053E+00    8.338997E+00   4.617437E-04   7.646935E-02  -2.944301E+00  -3.601751E+00  -3.814608E+00  -4.045096E+00  -3.414470E+00  -2.789309E+00  -3.191740E+00
   3.832237E+04   7.074069E+03   2.472380E+00  -1.274053E+00    8.327916E+00   4.664808E-04   7.553484E-02  -2.995930E+00  -3.577897E+00  -3.769061E+00  -3.975566E+00  -3.407744E+00  -2.818515E+00  -3.211415E+00
   3.975836E+04   7.248095E+03   2.509283E+00  -1.274053E+00    8.314639E+00   4.722201E-04   7.533863E-02  -3.048276E+00  -3.554085E+00  -3.724022E+00  -3.907862E+00  -3.400547E+00  -2.848908E+00  -3.230513E+00
   4.114900E+04   7.417580E+03   2.543481E+00  -1.274053E+00    8.299752E+00   4.787393E-04   7.583683E-02  -3.100431E+00  -3.530712E+00  -3.681241E+00  -3.845611E+00  -3.391918E+00  -2.880176E+00  -3.246402E+00
   4.253072E+04   7.587206E+03   2.576268E+00  -1.274053E+00    8.283413E+00   4.859982E-04   7.686772E-02  -3.146264E+00  -3.508359E+00  -3.640371E+00  -3.786562E+00  -3.383596E+00  -2.913590E+00  -3.260836E+00
   4.405802E+04   7.775582E+03   2.611420E+00  -1.274053E+00    8.264626E+00   4.944811E-04   7.854514E-02  -3.188398E+00  -3.483899E+00  -3.596429E+00  -3.723745E+00  -3.373842E+00  -2.951753E+00  -3.273894E+00
   4.567767E+04   7.977575E+03   2.647528E+00  -1.274053E+00    8.243351E+00   5.042657E-04   8.089047E-02  -3.223917E+00  -3.458139E+00  -3.551115E+00  -3.659504E+00  -3.362587E+00  -2.994271E+00  -3.283762E+00
   4.720699E+04   8.171368E+03   2.680463E+00  -1.274053E+00    8.221313E+00   5.146057E-04   8.353436E-02  -3.249856E+00  -3.433506E+00  -3.509603E+00  -3.601138E+00  -3.350850E+00  -3.035647E+00  -3.289106E+00
   4.870158E+04   8.363404E+03   2.711837E+00  -1.274053E+00    8.198723E+00   5.254252E-04   8.644889E-02  -3.268005E+00  -3.408635E+00  -3.469622E+00  -3.545712E+00  -3.337698E+00  -3.075854E+00  -3.290055E+00
