star_age  Teff  log_g  metallicity  Mag_bol  Flux_bol  Interp_rad  B  I  J  M  R  U  V
   5.208879E+01   3.854230E+03   8.423753E-01   0.000000E+00    6.890536E+00   1.753015E-03   3.160453E-02  -1.848621E+00  -5.354425E+00  -6.273027E+00  -7.188389E+00  -4.484696E+00   3.588974E-01  -3.400294E+00
   6.250656E+01   3.861629E+03   8.545426E-01   0.000000E+00    6.912641E+00   1.717685E-03   2.919036E-02  -1.843750E+00  -5.333853E+00  -6.248670E+00  -7.160934E+00  -4.471851E+00   3.614542E-01  -3.393045E+00
   7.500788E+01   3.870164E+03   8.685909E-01   0.000000E+00    6.938192E+00   1.677734E-03   2.640856E-02  -1.837890E+00  -5.310011E+00  -6.220532E+00  -7.129226E+00  -4.456803E+00   3.638710E-01  -3.384357E+00
   9.000947E+01   3.880053E+03   8.847203E-01   0.000000E+00    6.967455E+00   1.633120E-03   2.319979E-02  -1.831204E+00  -5.282660E+00  -6.188284E+00  -7.092841E+00  -4.439481E+00   3.654755E-01  -3.374280E+00
   1.080114E+02   3.891310E+03   9.031208E-01   0.000000E+00    7.000898E+00   1.583583E-03   1.951632E-02  -1.823208E+00  -5.251313E+00  -6.151453E+00  -7.051316E+00  -4.419310E+00   3.659938E-01  -3.362203E+00
   1.296137E+02   3.904003E+03   9.239682E-01   0.000000E+00    7.038896E+00   1.529120E-03   1.534586E-02  -1.813638E+00  -5.215589E+00  -6.109647E+00  -7.004237E+00  -4.395861E+00   3.647674E-01  -3.347695E+00
   1.555364E+02   3.918457E+03   9.474222E-01   0.000000E+00    7.081504E+00   1.470275E-03   1.066077E-02  -1.803093E+00  -5.175483E+00  -6.062715E+00  -6.951319E+00  -4.369295E+00   3.600082E-01  -3.331089E+00
   1.866437E+02   3.934771E+03   9.736117E-01   0.000000E+00    7.128947E+00   1.407412E-03   5.460901E-03  -1.791519E+00  -5.130782E+00  -6.010402E+00  -6.892280E+00  -4.339262E+00   3.504174E-01  -3.312034E+00
   2.239724E+02   3.952810E+03   1.002622E+00   0.000000E+00    7.181606E+00   1.340780E-03   1.142306E-03  -1.778213E+00  -5.081105E+00  -5.952377E+00  -6.826869E+00  -4.304951E+00   3.356655E-01  -3.289558E+00
   2.687669E+02   3.972629E+03   1.034497E+00   0.000000E+00    7.239547E+00   1.271104E-03   6.924414E-03  -1.763052E+00  -5.026459E+00  -5.888600E+00  -6.754997E+00  -4.266028E+00   3.157791E-01  -3.263297E+00
   3.225203E+02   3.994562E+03   1.069248E+00   0.000000E+00    7.302450E+00   1.199554E-03   1.385003E-02  -1.746858E+00  -4.967311E+00  -5.819354E+00  -6.676757E+00  -4.222774E+00   2.892252E-01  -3.233669E+00
   3.803079E+02   4.016132E+03   1.103194E+00   0.000000E+00    7.363850E+00   1.133601E-03   2.064162E-02  -1.730537E+00  -4.909678E+00  -5.751873E+00  -6.600395E+00  -4.179336E+00   2.615530E-01  -3.203236E+00
   4.431327E+02   4.037558E+03   1.136771E+00   0.000000E+00    7.424650E+00   1.071865E-03   2.736606E-02  -1.713068E+00  -4.852485E+00  -5.685229E+00  -6.524916E+00  -4.135339E+00   2.376611E-01  -3.171711E+00
   5.185225E+02   4.060784E+03   1.173199E+00   0.000000E+00    7.490809E+00   1.008501E-03   3.466448E-02  -1.692451E+00  -4.790063E+00  -5.612901E+00  -6.443035E+00  -4.086370E+00   2.150892E-01  -3.135808E+00
   5.976704E+02   4.083202E+03   1.207863E+00   0.000000E+00    7.553584E+00   9.518453E-04   4.161107E-02  -1.672307E+00  -4.730729E+00  -5.544301E+00  -6.365226E+00  -4.039312E+00   1.948375E-01  -3.100953E+00
   6.741645E+02   4.103040E+03   1.238528E+00   0.000000E+00    7.609234E+00   9.042872E-04   4.775705E-02  -1.653408E+00  -4.677991E+00  -5.483576E+00  -6.296380E+00  -3.996916E+00   1.785791E-01  -3.069051E+00
   7.619694E+02   4.123800E+03   1.270708E+00   0.000000E+00    7.667808E+00   8.567950E-04   4.593564E-02  -1.632396E+00  -4.622336E+00  -5.419745E+00  -6.224087E+00  -3.951616E+00   1.630252E-01  -3.034451E+00
   8.673351E+02   4.146509E+03   1.305752E+00   0.000000E+00    7.731615E+00   8.078933E-04   3.891320E-02  -1.608690E+00  -4.561573E+00  -5.350221E+00  -6.145348E+00  -3.901703E+00   1.466490E-01  -2.995931E+00
   9.802788E+02   4.168885E+03   1.339864E+00   0.000000E+00    7.793557E+00   7.630928E-04   3.207467E-02  -1.585335E+00  -4.502483E+00  -5.282647E+00  -6.068742E+00  -3.852878E+00   1.300502E-01  -2.958034E+00
   1.090346E+03   4.188580E+03   1.370303E+00   0.000000E+00    7.849203E+00   7.249676E-04   2.597300E-02  -1.563032E+00  -4.449221E+00  -5.222005E+00  -6.000237E+00  -3.808329E+00   1.162796E-01  -2.922873E+00
